collection,source_doc,difficulty,question,ground_truth,generated_answer,faithfulness,correctness,faithfulness_reason,correctness_reason
atsb_cs500_co50,AO-2023-026-Final.pdf,medium,What symptoms did the cabin crew experience after noticing the chlorine odour during climb out from Sydney?,"The cabin crew reported dizziness, mild discomfort described as pressure increasing in their head, and a metallic taste.","According to the context, the cabin crew experienced the following symptoms after noticing the chlorine odour during climb out from Sydney:

- Dizziness
- Mild discomfort described as pressure increasing in their head
- A metallic taste",3,3,"The generated answer lists symptoms that are directly stated in the provided context, which mentions cabin crew reported dizziness, mild discomfort described as pressure increasing in their head, and a metallic taste.","The generated answer exactly matches the ground truth answer by listing all three symptoms: dizziness, pressure increasing in head, and metallic taste."
atsb_cs500_co50,AO-2023-026-Final.pdf,medium,What deficiency did the ATSB identify in National Jet Systems' cabin air quality events procedure?,"The procedure captured the recording/reporting of odours, post-flight care of crew and maintenance actions, but did not consider the possible application of the smoke/fumes procedure or incapacitation procedure, creating an increased risk of flight crew being adversely affected during critical stages of flight.","The ATSB identified that National Jet Systems' cabin air quality events procedure did not consider the possible application of the smoke/fumes procedure or incapacitation procedure. While the procedure captured recording/reporting of odours, post-flight care of crew, and maintenance actions, this omission created an increased risk of flight crew being adversely affected by such an event during a critical stage of flight.",3,3,"The generated answer is fully supported by the context, accurately citing the deficiency regarding smoke/fumes and incapacitation procedures, and the increased risk during critical flight stages.","The generated answer matches the ground truth answer completely, covering all key elements including what was captured, what was missing, and the resulting risk."
atsb_cs500_co50,AO-2023-026-Final.pdf,hard,"How did the sequence of events involving the chlorine odour, crew symptoms, and crew response demonstrate gaps in both procedures and training that could have prevented the incapacitation from affecting the approach phase?","The cabin crew initially noticed the chlorine odour during climb out and reported symptoms, but the cabin air quality events procedure did not prompt consideration of using the smoke/fumes procedure or supplemental oxygen. Later, when the captain experienced hypoxia-like symptoms on approach, the lack of training on subtle cognitive incapacitation meant the first officer continued flying despite developing slowed reactions and cognitive difficulties. If the initial procedure had prompted oxygen use or if training had better addressed subtle incapacitation recognition, the crew could have mitigated the effects before reaching the critical approach phase.","Based on the provided context, the sequence demonstrated the following procedural and training gaps:

1. **Inadequate procedure scope**: The Cabin Air Quality (CAQ) procedure did not include consideration of fumes events leading to incapacitation, leaving crews unprepared for this scenario.

2. **Lack of oxygen use protocol**: The procedure did not direct crews to use oxygen, which would have ""significantly reduce[d] the risk of both flight crew becoming partially incapacitated.""

3. **Poor timing of preparation**: The crew were unprepared when the event occurred ""at a critical phase of flight"" (approach), meaning they had to manage the emergency during high workload operations.

4. **Inadequate preventive training**: The crew did not anticipate or prepare for the possibility that a CAQ issue could escalate to an incapacitation event during approach.

The context indicates that proper procedures requiring early oxygen use and training on fumes-to-incapacitation scenarios could have prevented or minimized the impact during this critical flight phase.",3,2,"The generated answer is fully supported by the context, accurately citing the lack of CAQ procedure consideration for incapacitation events, absence of oxygen use protocols, and the critical phase timing issues.","The answer correctly identifies procedural gaps but misses key details from the ground truth about the cabin crew noticing the odour during climb out, the first officer's continued flying despite symptoms, and the specific issue of subtle cognitive incapacitation recognition in training."
atsb_cs500_co50,AO-2022-029 Final.pdf,easy,What was the registration number of the Virgin Australia Boeing 737-800 that experienced a flight control issue departing Gold Coast Airport on 27 April 2022?,VH-YFZ,VH-YFZ,3,3,The answer is fully supported by the context which clearly states the registration was VH-YFZ for the Virgin Australia Boeing 737-800 involved in the Gold Coast Airport occurrence on 27 April 2022.,The generated answer exactly matches the ground truth answer of VH-YFZ.
atsb_cs500_co50,AO-2022-029 Final.pdf,easy,On what date did this flight control systems occurrence take place?,27-Apr-22,The flight control systems occurrence took place on 27 April 2022.,3,3,"The answer is directly supported by the context, which clearly states the occurrence took place on 27 April 2022 at Gold Coast Airport, Queensland.","The generated answer correctly identifies the date as 27 April 2022, which matches the ground truth answer of 27-Apr-22 in full date format."
atsb_cs500_co50,AO-2022-029 Final.pdf,medium,What was the pilot's immediate response when noticing the aircraft's tendency to roll to the right after take-off?,"The pilot added 1.5° of left rudder trim to keep the wings level, and when flaps were retracted during climb, the rudder was trimmed back to 0°.",The pilot added 1.5° of left rudder trim to keep the wings level.,3,2,The generated answer is directly supported by the context which states 'the pilot flying noticed that the aircraft had a tendency to roll to the right and added 1.5° of left rudder trim to keep the wings level.',"The generated answer is partially correct as it mentions the immediate response of adding 1.5° left rudder trim, but omits the important detail that the rudder was trimmed back to 0° when flaps were retracted during climb."
atsb_cs500_co50,AO-2022-029 Final.pdf,medium,"What component failure did the ATSB identify as the root cause, and what was the nature of the failure?","A pre-existing fatigue crack progressed through the aft flap's inboard programming roller cartridge, which held a roller that guided the aft flap during extension and retraction, resulting in component failure.","Based on the provided context, the ATSB identified the separation of the radial driveshaft (located in the inlet gearbox) as the root cause. This separation resulted in a mechanical discontinuity between the engine core and accessory gearbox, which led to loss of fuel pump pressure and uncommanded engine shutdown.",3,0,"The generated answer is fully supported by the context, accurately citing the radial driveshaft separation and its consequences as described in the provided text.","The generated answer describes a completely different component failure (radial driveshaft in inlet gearbox) than the ground truth (fatigue crack in aft flap's inboard programming roller cartridge), indicating the RAG system retrieved context from a different incident."
atsb_cs500_co50,AO-2022-029 Final.pdf,hard,"Why was the fatigue crack in the roller cartridge not detected before failure, and what action did the ATSB take in response?","The area where fatigue cracks developed was not included in Boeing's detailed inspection of the flap actuation system. Although a general visual inspection was specified and last occurred in October 2020, it could not be determined if the crack was present then. With at least 6 of 10 similar failures between 2017-2022 having been inspected several times prior to failure, the ATSB issued a safety recommendation to Boeing to increase detection of fatigue cracks in roller cartridges prior to failure.","Based on the provided context, the fatigue crack was not detected before failure for two reasons:

1. **Location of the crack**: The cracking occurred ""predominantly on the side of the cartridge that abutted the roller track,"" making it ""very difficult to observe on-wing.""

2. **Inspection scope limitation**: The fatigue cracking ""occurred in an area that was not included in the detailed flap actuation system inspection.""

Regarding ATSB action, the context identifies this as a ""Safety issue"" but does not describe what specific action the ATSB took in response. The context only shows Boeing's response stating they ""does not concur that this event represents a safety issue."" The specific actions taken by the ATSB are not provided in this context.",3,2,"The generated answer is fully supported by the context, accurately citing the location of the crack and inspection scope limitations, and correctly noting that specific ATSB actions are not described in the provided context.",The answer correctly identifies why the crack was not detected but is missing the key information about the ATSB issuing a safety recommendation to Boeing and the detail about 6 of 10 similar failures having been inspected several times prior to failure.
atsb_cs500_co50,AO-2023-038 Final.pdf,easy,"What was the registration number of the ERJ-190 that flew below the minimum safe altitude of 3,300 ft while conducting an orbit at 1,800 ft during the Napier RNP 16 instrument approach on 24 May 2023?",VH-IKJ,The registration number was VH-IKJ.,3,3,"The generated answer is directly supported by the context, which explicitly states that VH-IKJ was the aircraft that flew below minimum safe altitude during the Napier RNP 16 approach on 24 May 2023.",The generated answer exactly matches the ground truth answer of VH-IKJ.
atsb_cs500_co50,AO-2023-038 Final.pdf,easy,What was the minimum safe altitude where the crew conducted the orbit?,"3,300 ft","The minimum safe altitude where the crew conducted the orbit was 3,300 ft.",3,3,"The answer is directly supported by the context which explicitly states 'The flight crew conducted an orbit at 1,800 ft where the minimum safe altitude was 3,300 ft.'","The generated answer exactly matches the ground truth answer of 3,300 ft."
atsb_cs500_co50,AO-2023-038 Final.pdf,medium,Why did the crew conduct a holding pattern at waypoint GENDA during descent?,"Due to reduced track miles and extra fuel uplifted in Auckland, the aircraft would be approaching its maximum landing weight on arrival at Napier. To reduce the aircraft weight, they conducted a holding pattern and started the auxiliary power unit (APU) to increase the fuel burn.","I cannot determine this from the provided context.

The context mentions holding patterns at waypoints MOMBI, SARUS, and references a hold at GENDA only in relation to weight and timing considerations (""If the crew had not completed the hold at GENDA...""). However, the context does not explain why the crew conducted the holding pattern at GENDA during descent.",3,0,"The generated answer accurately states that the provided context does not contain information explaining why the crew conducted the holding pattern at GENDA, which is faithful to what is actually in the context.","The generated answer fails to provide any of the key information from the ground truth about maximum landing weight, fuel burn, and APU usage as reasons for the holding pattern at GENDA."
atsb_cs500_co50,AO-2023-038 Final.pdf,medium,What additional tasks interrupted the crew near waypoint ELBOW that contributed to the high workload during the approach?,"The aircraft flew through a thin layer of stratus cloud resulting in an ice detection system advisory alert. This required the crew to conduct the Stall Protection Ice Speed checklist, and to recomplete the Approach checklist.","According to the context, after passing the initial approach fix at ELBOW, the aircraft unexpectedly encountered ice, requiring the crew to conduct the appropriate checklists, which increased their workload during a critical phase of flight.",3,2,"The generated answer is fully supported by the context, which explicitly states that after passing ELBOW, the aircraft encountered ice requiring the crew to conduct appropriate checklists that increased workload.",The generated answer correctly identifies the ice encounter and need for checklists but lacks the specific details from the ground truth about the ice detection system advisory alert and the specific checklists (Stall Protection Ice Speed checklist and Approach checklist re-completion).
atsb_cs500_co50,AO-2023-038 Final.pdf,hard,How did the series of delays and operational pressures starting in Auckland contribute to the crew's decision to orbit below the minimum safe altitude rather than conducting a missed approach?,"The crew experienced multiple delays in Auckland (customs processing, passenger cargo retrieval, flight plan issues), departed 2 hours 47 minutes late, were pressured to depart before airport closure, then had to manage maximum landing weight issues requiring a holding pattern, followed by an ice detection alert requiring additional checklists. These cumulative time pressures and high workload led the crew to believe they could comply with visual approach criteria and conduct an orbit at 1,800 ft instead of a safer missed approach, despite being 1,500 ft below the 3,300 ft minimum safe altitude.","I cannot determine this from the provided context.

While the context describes delays and time pressures starting in Auckland, and mentions that the crew conducted an orbit while feeling time pressure, it does not explicitly explain how these factors contributed to the crew's decision to orbit *below the minimum safe altitude* rather than conducting a missed approach. The context does not provide information about the altitude of the orbit relative to minimum safe altitudes or the crew's decision-making process regarding that specific choice.",3,0,"The generated answer accurately represents what is and is not present in the provided context, correctly noting that while delays and time pressure are mentioned, the specific altitude violations are not detailed in the given excerpts.","The generated answer fails to provide the key information present in the ground truth about the cumulative pressures leading to the orbit decision and completely omits the critical detail about the 1,800 ft orbit being 1,500 ft below the 3,300 ft minimum safe altitude."
atsb_cs500_co50,AO-2023-042 Final.pdf,easy,What was the registration number of the Boeing 737 that experienced an in-flight upset 143 km west of Ballina/Byron Gateway Airport when the pilot monitoring inadvertently activated the rudder trim instead of the door unlock switch?,VH-YQR,The registration number was VH-YQR.,3,3,"The answer is fully supported by the context, which explicitly states the aircraft registration as 'Boeing 737-8FE, VH-YQR' in the findings section.","The generated answer matches the ground truth answer exactly, providing the correct registration number VH-YQR."
atsb_cs500_co50,AO-2023-042 Final.pdf,easy,What was the maximum bank angle reached during the upset?,About 42° left angle of bank,"Based on the provided context, there are two different maximum bank angles mentioned:

- One section states the aircraft attained **42° left bank angle**
- Another section mentions the aircraft rolled to **nearly 50° bank angle**

The context appears to be describing different incidents. For what seems to be the primary incident being discussed in detail, the maximum bank angle reached was **42° left bank**.",3,3,"The generated answer accurately identifies both bank angles mentioned in the context (42° and nearly 50°) and correctly notes they refer to different incidents, which is fully supported by the provided passages.","The generated answer correctly identifies the maximum bank angle as 42° left bank for the primary incident, matching the ground truth answer, while also providing helpful context about a separate incident mentioned in the passages."
atsb_cs500_co50,AO-2023-042 Final.pdf,medium,Why did the autopilot initially fail to prevent the aircraft from banking left despite applying corrective aileron input?,"The autopilot reached the limit of its authority after 5 seconds of left rudder trim application, causing the aircraft to begin banking left with a rapidly increasing rate of bank.","The autopilot initially failed to prevent the aircraft from banking left because it reached the limit of its control authority. During single autopilot operations, there was limited roll input authority and a limit to the maximum aileron input that could be applied. Once the autopilot reached this maximum allowable aileron input (after 5 seconds of full left rudder trim), it could no longer counter the increasing rudder trim and yaw, causing the aircraft to continue banking left beyond what the autopilot could control.",3,3,"The answer is fully supported by the context, which explicitly states that the autopilot had limited roll authority during single autopilot operations and reached its maximum aileron input after 5 seconds of full left rudder trim.","The answer correctly identifies that the autopilot reached its authority limit after 5 seconds of left rudder trim application, matching the ground truth's key points about the autopilot reaching its limit and the resulting bank angle increase."
atsb_cs500_co50,AO-2023-042 Final.pdf,medium,What procedural changes did Virgin Australia implement following this incident?,"Virgin Australia limited the time that the door unlock switch was to be held in the unlock position, provided a briefing on the event to flight crews, and made changes to the non-technical skills program addressing this type of occurrence.","Based on the context provided, Virgin Australia implemented the following procedural changes:

1. **Flight deck door entry procedures**: Changed to limit the time that the door unlock switch was to be held in the unlock position.

2. **Safety communications**: Published a safety update for all flight crew two days after the incident, providing contextual information about the occurrence and highlighting missing waypoints in the vertical profile depiction on the Jeppesen Cairns RNP Y runway 33 chart, while emphasizing the requirement for approach transition selection.

3. **Non-technical skills program**: Made changes addressing this type of occurrence.

4. **Flight crew briefings**: Provided briefings on the event to flight crews.

5. **Safety management and information-based changes**: Implemented changes designed to improve flight crew awareness of changes to runway configuration and related aircraft performance criteria.",2,2,"The answer is mostly supported by the context, but point 5 about runway configuration changes appears to refer to a different incident than the door unlock switch incident described in the ground truth.","The answer correctly identifies the three main procedural changes from the ground truth (door unlock procedures, flight crew briefings, non-technical skills program changes) but adds additional items that may relate to different incidents, creating some confusion about which specific incident is being addressed."
atsb_cs500_co50,AO-2023-042 Final.pdf,hard,How did the sequence of the pilot monitoring's actions and attention shifts contribute to the inadvertent rudder trim application and why was the problem not immediately corrected?,"The PM visually identified the flight deck door switch but then diverted their attention to the door itself before grasping the switch, causing them to inadvertently grasp and activate the rudder trim control instead. The problem persisted because when both pilots felt the initial roll/yaw, they scanned instruments but found nothing abnormal, so the PM continued holding what they believed was the door switch while looking at the door. The autopilot initially masked the problem by applying corrective aileron, and even after the upset occurred, the flight crew couldn't promptly identify the left yaw as the primary cause, delaying the restoration of balanced flight.","Based on the context provided:

The pilot monitoring (PM) was distracted while talking to the pilot flying and monitoring the aircraft approaching cruise altitude. The PM looked away from the panel when selecting the switch, which contributed to mis-selecting the rudder trim control instead of the FLT DK DOOR switch, activating it to the full left position.

The problem was not immediately corrected because the PM continued to maintain input on the rudder trim control while looking forward, outside the aircraft, and scanning instruments after both pilots felt the yaw/roll. The delay in identifying the unintended rudder trim was further compounded by the very small displacement of the rudder pedals at maximum trim application and the pilot flying's limited experience on the aircraft, despite the large right wing down aileron input that indicated a yaw-related issue.",3,2,"The generated answer is fully supported by the context, accurately describing the PM's distraction, looking away from the panel, mis-selection of the rudder trim, continued maintenance of input while scanning instruments, and factors delaying identification.","The answer captures the key elements of distraction and delayed correction but misses important details from the ground truth about the specific sequence (looking at door before grasping switch), autopilot masking the problem, and inability to identify left yaw as primary cause."
atsb_cs500_co50,AO-2022-061_FINAL.pdf,easy,"What was the registration number of the Cessna Citation Mustang that descended to 800 feet below the lowest safe altitude while approaching Bankstown Airport 15 km west of the airport after last light on November 16, 2022?",VH-IEQ,The registration number was VH-IEQ.,3,3,"The answer is fully supported by the context, which clearly identifies VH-IEQ as the Cessna Citation Mustang involved in the flight below minimum altitude incident on 16 November 2022.","The generated answer exactly matches the ground truth answer, providing the correct registration number VH-IEQ."
atsb_cs500_co50,AO-2022-061_FINAL.pdf,easy,What time did last light occur at Bankstown on 16 November 2022?,About 2004 (approximately 8:04 PM local time),Last light at Bankstown occurred at about 2004 (8:04 PM) on 16 November 2022.,3,3,"The answer is directly supported by the context which states 'at about 2004, last light for Bankstown occurred.'","The generated answer matches the ground truth answer exactly, providing both the time (about 2004) and the clarification that this is approximately 8:04 PM."
atsb_cs500_co50,AO-2022-061_FINAL.pdf,medium,What altitude did the aircraft descend to and how far below the lowest safe altitude was this?,"The aircraft descended to a height of 1,000 ft, which was about 800 ft below the lowest safe altitude for the area","Based on the context provided, the aircraft descended to 1,705 ft at waypoint BRKSI, which was 1,295 ft below the segment minimum safe altitude (SMSA) at that point.",3,1,"The generated answer is fully supported by the context, which explicitly states the aircraft crossed BRKSI at 1,705 ft, which was 1,295 ft below the SMSA.","The generated answer provides accurate information from one part of the flight, but misses the ground truth answer which refers to a different incident where the aircraft descended to 1,000 ft, approximately 800 ft below the safe altitude."
atsb_cs500_co50,AO-2022-061_FINAL.pdf,medium,What happened immediately after the pilot received clearance from ATC to join final for runway 11 centre?,"Immediately after responding to ATC, the aircraft began a left turn onto a track of approximately 060° (true), and near the completion of the left turn at 2015:22, the aircraft began to descend from 2,000 ft","According to the context, immediately after the pilot received clearance from ATC to fly directly toward final approach for runway 11 centre, the pilot started tracking toward final approach.",3,1,"The generated answer is directly supported by the context which states 'Immediately after this clearance, the pilot started tracking toward final approach.'","The generated answer provides only a general statement about tracking toward final approach, while the ground truth specifies detailed actions including a left turn to track 060° and descent from 2,000 ft at a specific time."
atsb_cs500_co50,AO-2022-061_FINAL.pdf,hard,"What was the primary cause of the pilot descending below the lowest safe altitude, and how did the timing of the flight contribute to this error?","The pilot had submitted a flight plan for an arrival after last light (which occurred at 2004), requiring night operation rules, but the pilot followed day operation rules instead because there was still ambient light available. This led to the pilot descending below the lowest safe altitude applicable for night operations. The flight's timing near the transition from day to night (arriving at 2020, about 16 minutes after last light) contributed to this confusion between which rules applied.","Based on the provided context, the primary cause was that both flight crews did not recognize that an approach transition selection was required in the flight management system, which resulted in the aircraft descending below segment minimum safe altitudes.

The timing of the flight contributed significantly to this error because both approaches occurred at a time when the flight crewmembers had inadequate sleep. This caused them to experience a level of fatigue known to adversely affect performance. This fatigue, combined with a period of high workload during the second approach, led to the early descent and monitoring errors.",3,0,"The generated answer is fully supported by the context, accurately citing the contributing factors about approach transition selection and the role of fatigue and inadequate sleep mentioned in the context.","The generated answer describes a completely different incident involving approach transition selection and fatigue, while the ground truth answer describes an incident involving confusion between day and night operation rules near the transition from day to night."
atsb_cs500_co50,AO-2024-032-Final.pdf,easy,"What was the registration number of the Boeing 737 that experienced severe turbulence 36 km south-east of Brisbane Airport in May 2024, resulting in a cabin crew member suffering a fractured ankle?",VH-VYK,"The registration number was VH-VYK.

Note: While the context confirms this aircraft experienced severe turbulence at the specified location and date resulting in cabin crew injuries, I cannot confirm from the provided context that a crew member specifically suffered a fractured ankle, as the injury details mentioned only refer to ""various injuries"" including ""minor injuries"" and ""a facial injury.""",3,3,"The answer correctly identifies VH-VYK as the registration number, which is directly stated in the context, and appropriately notes that while injuries occurred, the specific detail about a fractured ankle is not confirmed in the provided context.",The generated answer provides the correct registration number VH-VYK that matches the ground truth answer.
atsb_cs500_co50,AO-2024-032-Final.pdf,easy,What time did the aircraft depart from Sydney?,1202 local time,"Based on the context provided, there are two different departure times from Sydney mentioned:

1. **0415** (04:15 local time) - for a flight to Brisbane
2. **1055** (10:55) - for a flight to Gold Coast Airport

The context describes two separate flights departing from Sydney at different times.",3,0,The generated answer accurately identifies the two departure times from Sydney that are explicitly mentioned in the provided context.,"The generated answer provides departure times of 0415 and 1055, but neither matches the ground truth answer of 1202 local time, which is not present in the provided context."
atsb_cs500_co50,AO-2024-032-Final.pdf,medium,What injuries did the three cabin crew members sustain during the turbulence event?,"Two crew members received minor injuries, including a facial injury and concussion, while the third was seriously injured with a fractured ankle.","According to the context, of the three injured cabin crew members: one received a concussion, one received a concussion, and the third was seriously injured with a fractured ankle.",2,1,The answer correctly mentions the fractured ankle and concussion but misses the facial injury mentioned in the context and incorrectly states two people had concussions.,The answer identifies the fractured ankle and mentions concussion but fails to capture that only two crew members had minor injuries (facial injury and concussion being separate injuries) and incorrectly duplicates concussion for two crew members.
atsb_cs500_co50,AO-2024-032-Final.pdf,medium,"Why did the cabin crew remain unrestrained during the severe turbulence, and what was the altitude when the turbulence occurred?","The cabin crew remained unrestrained because the captain did not inform them about the expected turbulence during descent, likely due to not being aware of its severity. The turbulence occurred after passing 11,400 ft about 36 km south-east of Brisbane.","Based on the context provided:

**Why cabin crew remained unrestrained:** The cabin crew were unrestrained because they were performing their duties during unanticipated severe turbulence. The captain did not communicate the expected turbulence to the cabin crew, likely because the captain did not know the severity of the turbulence that would be encountered.

**Altitude when turbulence occurred:** The severe turbulence occurred after the aircraft passed 11,400 ft, approximately 36 km south-east of Brisbane.",3,3,"The generated answer is fully supported by the context, accurately citing that the captain did not communicate about turbulence due to not knowing its severity, crew were unrestrained while performing duties, and the turbulence occurred after passing 11,400 ft about 36 km south-east of Brisbane.","The generated answer matches the ground truth answer completely, providing both the reason for crew being unrestrained (captain's lack of communication about turbulence severity) and the correct altitude and location information."
atsb_cs500_co50,AO-2024-032-Final.pdf,hard,"What systemic communication and procedural failures contributed to the risk during this occurrence, and what changes did Qantas implement in response?","The occurrence involved multiple failures: the captain did not inform cabin crew about expected turbulence, the flight crew proceeded with landing unaware that 4 people remained unrestrained in the rear galley assisting the injured crew member, and a concussed crew member returned to work without medical assessment. In response, Qantas updated procedures to mandate immediate doctor assessment of fitness for cabin crew prior to further duties and require immediate medical assessment following moderate or severe turbulence with injuries or unrestrained crew.","Based on the provided context, the systemic failures and Qantas's responses varied by incident:

**Communication/Procedural Failures Identified:**

1. **Crew fitness monitoring**: There was increased risk that a crew member could continue to operate while being unfit for duty due to inadequate notification protocols for crew injury or illness.

2. **Passenger count discrepancies**: Issues with identifying and resolving passenger discrepancies during diversions.

3. **Tool control**: Problems with ensuring all tooling was properly returned during maintenance operations.

**Changes Implemented by Qantas:**

1. **Medical notification protocol** (July 22, 2024): Updated the integrated operations control incident notification communications protocol to include contact with the Qantas on-call doctor for significant cabin crew injury or illness.

2. **Load control procedures**: Amended the diversion checklist to require airport personnel to conduct headcounts when passenger discrepancies are identified, and updated the airport product and service manual.

3. **Tool control**: Briefed staff on the importance of returning all tooling, and the executive manager issued requirements (March 4, 2024) for all employees to meet tooling control requirements without exception.",3,1,"The generated answer is fully supported by the context, accurately citing the safety actions and procedural changes mentioned in the provided documents.","The generated answer describes different incidents and safety actions than those specified in the ground truth, missing the key details about turbulence communication failures, unrestrained crew members, and the concussed crew member returning to work without assessment."
atsb_cs500_co50,AO-2024-035 Final.pdf,easy,What was the registration number of the Boeing 737 involved in the inaugural Batik Air flight from Denpasar to Canberra that descended below minimum altitude at MOMBI on 14 June 2024?,PK-LDK,The registration number was PK-LDK.,3,3,"The answer is fully supported by the context, which explicitly states the registration as PK-LDK multiple times in relation to the Batik Air Boeing 737 involved in the incident.","The generated answer exactly matches the ground truth answer, providing the correct registration number PK-LDK."
atsb_cs500_co50,AO-2024-035 Final.pdf,easy,What date did the incident occur?,14-Jun-24,"The context provided shows multiple different incidents with different dates:

- 29 April 2023
- 18 July 2022
- 24 May 2023
- 16 July 2003
- 8 October 2022

I cannot determine which specific incident you are asking about from the provided context, as multiple incidents are referenced without clear indication of which one is the subject of your question.",3,0,The generated answer accurately identifies multiple incident dates that are explicitly stated in the provided context and correctly notes that it cannot determine which specific incident is being asked about.,"The generated answer does not provide the ground truth date of 14-Jun-24, which is not present in the provided context at all."
atsb_cs500_co50,AO-2024-035 Final.pdf,medium,What was the minimum safe altitude for the MOMBI holding pattern and to what altitude did the aircraft actually descend?,"The minimum safe altitude for the MOMBI holding pattern was 5,600 ft AMSL, but the aircraft descended to 4,700 ft AMSL.","Based on the context provided, the minimum safe altitude for the MOMBI holding pattern was 5,600 ft AMSL. The aircraft actually descended to 4,700 ft AMSL, which was 900 ft below the minimum safe altitude.",3,3,"The generated answer is fully supported by the context, which explicitly states the minimum safe altitude was 5,600 ft AMSL and the aircraft descended to 4,700 ft AMSL.","The generated answer matches the ground truth answer completely, providing both the minimum safe altitude of 5,600 ft AMSL and the actual descent altitude of 4,700 ft AMSL."
atsb_cs500_co50,AO-2024-035 Final.pdf,medium,"Why did Airservices Australia increase the MOMBI holding pattern minimum altitude from 5,100 ft to 5,600 ft, and what was the consequence of this change?","An obstacle evaluation error during a 2022 review led to the increase from 5,100 ft to 5,600 ft. This increase resulted in a transition from the holding pattern to the approach glideslope that increased the risk of unstable approaches and sudden pitch ups.","Based on the provided context, Airservices Australia increased the MOMBI holding pattern minimum altitude from 5,100 ft to 5,600 ft due to higher terrain that was included in the terrain and obstacle assessment area. However, this increase was the result of an error - the assessment failed to correctly incorporate the 14 DME limit, which would have excluded this higher terrain.

The consequence of this change was that it created a transition from the holding pattern to the approach glideslope that increased the risk of unstable approaches and sudden pitch ups. After the Civil Aviation Safety Authority conducted a revalidation test flight and advised Airservices Australia of concerns, the minimum holding altitude was reduced back to 5,100 ft in December 2024.",2,2,"The answer is mostly supported by the context regarding the consequences and the error, but the context states the error was discovered when the 14 DME limit was 'correctly incorporated' later, not that it failed to be incorporated initially, which is a subtle but important distinction.","The answer correctly identifies the consequences and mentions an error, but describes the cause as an 'assessment error' rather than specifically an 'obstacle evaluation error during a 2022 review' as stated in the ground truth."
atsb_cs500_co50,AO-2024-035 Final.pdf,hard,"How did the combination of inadequate crew training, air traffic control communication issues, and procedural deficiencies contribute to the aircraft descending below minimum safe altitude?","The crew had not completed required CTAF training before the flight and deviated from their cleared track by commencing the AVBEG 5A STAR. The controller's altitude instructions to maintain separation from a restricted area made the aircraft higher than desired, leading the crew to use the MOMBI holding pattern to lose altitude. The crew did not select CTAF frequency, preventing them from receiving safety alerts. The controller providing flight information service was not required to know holding pattern minimum altitudes and did not issue a safety alert. Additionally, Batik Air's change management processes failed to identify and mitigate risks for the new route. These factors combined resulted in the aircraft descending to 4,700 ft AMSL, 900 ft below the minimum safe altitude.","I cannot determine this from the provided context.

The context identifies fatigue due to inadequate sleep, high workload, and failure to recognize required approach transition selections as contributing factors to descending below minimum safe altitude. However, the context does not mention inadequate crew training, air traffic control communication issues, or procedural deficiencies as contributing factors. In fact, the context specifically states that ""air traffic control intervened quickly and appropriately to resolve the risks,"" indicating ATC performed well rather than having communication issues.",3,0,"The generated answer correctly identifies that the specific factors mentioned in the question (inadequate crew training, ATC communication issues, procedural deficiencies) are not supported by the provided context, and accurately cites what the context actually states.","The generated answer states it cannot determine this from context, but the ground truth describes specific contributing factors including incomplete CTAF training, procedural deviations, controller limitations, and change management failures that are not addressed in the answer."
atsb_cs500_co50,AO-2023-022 Final.pdf,easy,What were the aircraft registrations of the two Boeing 737s involved in the separation occurrence?,VH-VZM and VH-VZW,The two Boeing 737s involved in the separation occurrence at Sydney Airport on 29 April 2023 were VH-VZM and VH-VZW.,3,3,The generated answer directly matches the aircraft registrations provided in the context document title and is fully supported by the context.,The generated answer provides both aircraft registrations (VH-VZM and VH-VZW) that exactly match the ground truth answer.
atsb_cs500_co50,AO-2023-022 Final.pdf,easy,What was the wind speed and direction during the separation occurrence between VH-VZM and VH-VZW at Sydney Airport on 29 April 2023?,The wind was 202°–228° at 11–14 kt,"I cannot determine this from the provided context.

The context mentions ""The wind at the time was"" but the sentence is cut off before providing the actual wind speed and direction for the 29 April 2023 occurrence. The wind information that is provided (7 kt from 333° magnetic) relates to a different incident at Cairns Airport on 24 October 2022, not the Sydney Airport separation occurrence on 29 April 2023.",3,0,The generated answer accurately acknowledges that the context cuts off before providing the wind information and correctly identifies that the wind data shown relates to a different incident.,"The generated answer states it cannot determine the wind information, while the ground truth provides specific wind speed and direction data that the answer fails to include."
atsb_cs500_co50,AO-2023-022 Final.pdf,medium,Why did the crew of VH-VZM take approximately 4 seconds longer than normal to commence the take-off after receiving clearance?,"The delay was due to a permissible unserviceability affecting the performance of one of the engines, which caused the engines to take longer to stabilise after the thrust levers were pushed forward.","The crew of VH-VZM took approximately 4 seconds longer than normal due to a permissible unserviceability affecting the performance of one of the engines. The aircraft had to push the thrust levers forward and wait for both engines to stabilize, which took about 4 seconds longer than normal because of this engine performance issue.",3,3,"The generated answer is fully supported by the context, which explicitly states that the process took about 4 seconds longer than normal due to a permissible unserviceability affecting one engine's performance.","The generated answer matches the ground truth answer completely, accurately identifying both the cause (permissible unserviceability affecting engine performance) and the effect (engines taking longer to stabilise)."
